bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
21272,51,27.35,1,0,241.63,10.97
23183,52,27.25,1,0,241.63,11.01
18910,55,25.32,0,1,241.67,11.85
19910,42,28.9,1,0,241.67,10.38
20244,65,27.93,0,1,241.68,10.74
2672,22,21.9,0,1,241.68,13.7
23895,67,29.17,0,1,241.68,10.28
29832,20,28.02,1,0,241.7,10.71
31660,50,27.6,0,1,241.7,10.87
30201,20,28.03,1,0,241.72,10.7
26987,33,28.87,0,1,241.73,10.39
22853,50,27.97,1,0,241.73,10.73
25450,26,27.82,0,1,241.75,10.78
27440,44,26.65,1,0,241.75,11.26
26336,24,28.92,1,0,241.75,10.37
16962,37,27.82,1,0,241.77,10.78
18346,63,26.07,0,1,241.77,11.51
11415,52,24.77,0,1,241.78,12.11
26800,23,30.05,1,0,241.78,9.98
23365,65,27.13,0,1,241.78,11.06
22702,47,26.85,1,0,241.8,11.17
23821,70,27.85,0,1,241.8,10.77
19586,60,27.52,0,1,241.82,10.9
23194,57,27.92,1,0,241.83,10.74
22601,45,27.8,1,0,241.83,10.79
24968,28,27.42,0,1,241.83,10.94
25983,23,31.3,1,0,241.85,9.58
23114,57,28.72,1,0,241.85,10.45
21580,49,27.67,1,0,241.87,10.84
30930,54,28.4,0,1,241.87,10.56
22863,55,27.72,1,0,241.87,10.82
23276,52,27.78,1,0,241.88,10.8
19949,64,25.12,0,1,241.88,11.94
23034,67,28.28,0,1,241.88,10.61
11747,48,25.2,0,1,241.9,11.9
31831,25,29.47,1,0,241.92,10.18
23943,61,27.62,1,0,241.92,10.86
21439,47,26.98,1,0,241.92,11.12
27922,40,29.98,0,1,241.92,10.01
25943,54,26.68,0,1,241.93,11.24
29325,45,28.78,0,1,241.93,10.42
23701,57,27.13,1,0,241.93,11.06
22770,53,27.63,1,0,241.95,10.86
22654,47,26.65,1,0,241.95,11.26
18923,39,27.22,1,0,241.97,11.02
30436,42,28.22,0,1,241.97,10.63
27213,35,28.25,0,1,241.97,10.62
23383,71,26.77,0,1,241.98,11.21
17683,57,26.1,0,1,241.98,11.49
29454,57,30.53,0,1,242.0,9.83
29219,53,27.4,1,0,242.0,10.95
18249,63,25.45,0,1,242.02,11.79
23384,68,27.48,0,1,242.03,10.92
15807,68,27.38,0,1,242.05,10.96
23190,65,26.83,0,1,242.05,11.18
27941,56,27.57,1,0,242.05,10.88
21464,60,27.22,0,1,242.05,11.02
27246,30,32.7,1,0,242.07,9.17
30906,38,31.28,0,1,242.07,9.59
20557,63,28.17,0,1,242.08,10.65
31210,47,29.28,0,1,242.1,10.25
32057,32,30.43,1,0,242.1,9.86
25430,25,30.1,1,0,242.1,9.97
23918,56,27.82,1,0,242.1,10.78
30790,48,27.1,1,0,242.12,11.07
17985,59,27.2,0,1,242.13,11.03
20189,65,25.52,0,1,242.13,11.76
30302,54,29.18,0,1,242.13,10.28
29885,50,27.1,0,1,242.15,11.07
18852,41,26.88,1,0,242.15,11.16
22432,56,27.35,1,0,242.18,10.97
21068,56,26.63,1,0,242.2,11.27
17696,45,26.38,1,0,242.22,11.37
25303,41,29.52,0,1,242.23,10.16
19438,42,27.18,1,0,242.23,11.04
19209,42,27.95,1,0,242.23,10.73
31777,28,28.12,0,1,242.23,10.67
17723,47,26.4,1,0,242.23,11.36
21048,60,26.72,0,1,242.25,11.23
22753,51,27.68,1,0,242.27,10.84
15113,52,25.22,0,1,242.27,11.9
19446,57,25.95,0,1,242.27,11.56
2086,49,23.03,0,1,242.28,13.03
